N_A,N_B,r_Z_A,r_Z_B,r_A_B1,r_B_B2,R0,R0_low,R0_up,R0_A,R0_A_low,R0_A_up,R0_B,R0_B_low,R0_B_up,X0,X0_low,X0_up,X0_A,X0_A_low,X0_A_up,X0_B,X0_B_low,X0_B_up,Ub1,Ub1_low,Ub1_up,Ub2,Ub2_low,Ub2_up,sim_time_sec
16,84,0.01,0.01,0.07692307692307693,0.09090909090909091,590.758239741159,576.4790188649913,605.0374606173266,209.82839850741092,205.56193528744467,214.09486172737718,917.6622137354843,900.8143394405312,934.5100880304375,0.16907211041569134,0.16654090264084342,0.17168144787433245,0.07743934567149673,0.07593775317500988,0.07900152108910556,0.09150470335613628,0.08970684174593875,0.09337610253586155,0.9974994318370934,0.9851375397843427,1.0098613238898442,1.0,0.9713515668682959,1.028648433131704,6.754920959472656
25,75,0.01,0.01,0.07692307692307693,0.09090909090909091,593.51878860723,583.3582382450061,603.679338969454,327.28526808559013,321.78864102291055,332.7818951482697,820.9310236049671,804.8357464247762,837.026300785158,0.16887428945651184,0.1659512017349311,0.1719021988756233,0.07647389124387528,0.07516019538431103,0.07783432721495578,0.09203093493422265,0.08996981914171424,0.0941887009592627,1.0,0.9713515668682959,1.028648433131704,1.0,0.9713515668682959,1.028648433131704,8.051084756851196
1,99,0.01,0.01,0.07692307692307693,0.09090909090909091,998.939750697724,977.6354054987049,1020.244095896743,113.18461048481338,109.93860883793924,116.43061213168751,1087.0904458027132,1062.75995158273,1111.4209400226964,0.09996779896348004,0.09841690792554839,0.1015683516493006,0.008835123394572937,0.008588806514810397,0.009095985573858791,0.09095446802387869,0.08950072626504908,0.09245621517694677,0.1142494830508608,0.11125762614419393,0.11724133995752767,1.0,0.9874855732602297,1.0125144267397703,9.245491027832031
4,96,0.01,0.01,0.07692307692307693,0.09090909090909091,795.8840958335262,773.3253074270505,818.442884240002,118.03814913738553,116.04780035007498,120.02849792469608,1050.401443799027,1028.8721101562917,1071.9307774417623,0.12512503283163068,0.12287625033077536,0.12745766062621763,0.03388650277229342,0.03332518964345589,0.03446704881628766,0.09157375449425698,0.08950181935312122,0.09374389210398262,0.4419866826234279,0.43303252003167425,0.4509408452151815,1.0,0.9713515668682959,1.028648433131704,7.352635383605957
11,89,0.01,0.01,0.07692307692307693,0.09090909090909091,612.4481672254735,601.7661254929085,623.1302089580386,153.51656733911452,151.32613644359023,155.7069982346388,973.47967470093,957.9786312919489,988.9807181099111,0.16288802263490235,0.1604082844120881,0.16544563280426533,0.07163288888055848,0.07044346060198421,0.07286317368639646,0.09157364613848588,0.0899879469497811,0.09321623170690932,0.9332637057265891,0.9063238605563023,0.9602035508968759,1.0,0.9713515668682959,1.028648433131704,7.362075567245483
29,71,0.01,0.01,0.07692307692307693,0.09090909090909091,594.5540375712644,584.3721791465324,604.7358959959964,375.4492106854899,367.7918265102385,383.1065948607413,780.6672488077946,767.0290548124278,794.3054428031614,0.16766330767756918,0.16549710306487447,0.16988697162549718,0.07731046032831777,0.07594773485587648,0.07872298188521604,0.09080790101417824,0.08931056724759343,0.09235629789094996,1.0,0.9713515668682959,1.028648433131704,1.0,0.9713515668682959,1.028648433131704,6.77502703666687
14,86,0.01,0.01,0.07692307692307693,0.09090909090909091,596.6366103426153,580.4329358922806,612.84028479295,183.43490112792585,179.57891453906015,187.29088771679156,946.951951415647,929.752450212369,964.1514526189251,0.1672573999018828,0.16273962367884284,0.17203317212648206,0.07606246145283893,0.07483588608490985,0.07732991445210449,0.09105761131969448,0.08935731915395834,0.09282386496161102,0.9881900118764358,0.9756844065874489,1.0006956171654227,1.0,0.9713515668682959,1.028648433131704,6.464270830154419
23,77,0.01,0.01,0.07692307692307693,0.09090909090909091,598.0361515303911,585.3417961359219,610.7305069248603,300.7815981131245,294.7274199975417,306.83577622870735,845.039434882426,831.9046369080037,858.1742328568483,0.16634687268064915,0.16253749200571868,0.1703390991162312,0.0765452844873075,0.07436813134531588,0.07885375586106859,0.09136123331718088,0.0896824729152906,0.09310404184628,1.0,0.9713515668682959,1.028648433131704,1.0,0.9713515668682959,1.028648433131704,6.929611444473267
8,92,0.01,0.01,0.07692307692307693,0.09090909090909091,661.2612442410949,650.091427810388,672.4310606718018,133.3287483946467,131.2598637499151,135.39763303937832,1002.9991855701758,983.5265337456901,1022.4718373946614,0.1516658141403378,0.14858059427204917,0.1548818777783984,0.060015211205085524,0.05919311376195392,0.06086046549038387,0.0912885194615164,0.0886936079681444,0.09403984599795252,0.7811629050834058,0.7649675653659155,0.7973582448008961,1.0,0.9713515668682959,1.028648433131704,7.153373956680298
20,80,0.01,0.01,0.07692307692307693,0.09090909090909091,600.5512840025498,590.3583917181888,610.7441762869107,261.8724935367815,254.56641735235573,269.17856972120734,884.7720322310228,860.8069660389164,908.7370984231292,0.1667536313856744,0.16287393697073316,0.17082266635171195,0.07595342152081784,0.0750141662465707,0.07691649593864873,0.0906646584976175,0.08876061274784429,0.092652184180861,0.9998108814158035,0.9873081557769148,1.0123136070546923,1.0,0.9713515668682959,1.028648433131704,7.404317140579224
