N_A,N_B,r_Z_A,r_Z_B,c_A_T1,c_A_T2,c_A_T3,c_B_T1,c_B_T2,c_B_T4,r_A_T1,r_A_T2,r_A_T3,r_B_T1,r_B_T2,r_B_T4,R0,R0_low,R0_up,R0_A,R0_A_low,R0_A_up,R0_B,R0_B_low,R0_B_up,X0,X0_low,X0_up,X0_A,X0_A_low,X0_A_up,X0_B,X0_B_low,X0_B_up,Ut1_A,Ut1_A_low,Ut1_A_up,Ut2_A,Ut2_A_low,Ut2_A_up,Ut3_A,Ut3_A_low,Ut3_A_up,Ut1_B,Ut1_B_low,Ut1_B_up,Ut2_B,Ut2_B_low,Ut2_B_up,Ut3_B,Ut3_B_low,Ut3_B_up,sim_time_sec
0,50,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,499.249210352215,489.132159000587,509.366261703843,0,0,0,499.249210352215,489.132159000587,509.366261703843,0.099790501301938,0.097671967179755,0.102002976304803,0,0,0,0.099790501301938,0.097671967179755,0.102002976304803,0,0,0,0,0,0,0,0,0,0.808221094155564,0.789426820979184,0.827015367331945,0.895978304752354,0.873225885270556,0.918730724234152,0.998813574465643,0.986026116803466,1.01160103212782,10.8313598632813
8,42,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,345.139343901045,340.38730982886,349.89137797323,173.356129639433,170.737733969423,175.974525309443,423.083165436902,416.04384804923,430.122482824574,0.145133389524227,0.142531470129027,0.147832071676167,0.046166511884246,0.045485868115165,0.046867835203409,0.099068082368288,0.097157164170186,0.101055677779703,0.548034188861779,0.536031002963998,0.560037374759561,0.697171549206306,0.680058193753716,0.714284904658897,0.505682044356011,0.494920626563599,0.516443462148423,0.791782751332084,0.778021305986106,0.805544196678063,0.885058883125213,0.864688237623149,0.905429528627276,0.994466246590863,0.981023073854579,1.00790941932715,11.8113143444061
16,34,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,312.702007368128,307.176002265331,318.228012470925,256.983067545294,249.638811545392,264.327323545196,343.664209332145,337.823337506387,349.505081157904,0.159891566321203,0.157336032488818,0.162531487440425,0.061587508660524,0.059817001345121,0.063466022366538,0.09870965275118,0.096679556283863,0.100826834589605,0.75226757735018,0.73872014802953,0.76581500667083,0.933499084612495,0.907075649444201,0.95992251978079,0.681221874934841,0.662143512205826,0.700300237663855,0.786937098693352,0.770205496628661,0.803668700758043,0.880042118917984,0.866391874688923,0.893692363147045,0.988163125237347,0.972896139504965,1.00343011096973,12.3788688182831
14,36,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,313.11685344423,303.849069029507,322.384637858953,232.541952296292,225.766437769475,239.317466823109,362.359446295894,353.311592361215,371.407300230574,0.160410588118963,0.157948522221568,0.162950625675451,0.060217065438256,0.059310414038134,0.061151866283695,0.099459545594545,0.096589127076221,0.102505794586786,0.721589871020579,0.706422811120949,0.73675693092021,0.89431029828414,0.874637674451156,0.913982922117124,0.668661104626973,0.651427175934264,0.685895033319682,0.788821452465107,0.769289278741459,0.808353626188755,0.894956956082234,0.869244433957494,0.920669478206974,0.991186082666892,0.978346894747579,1.0040252705862,12.7433981895447
10,40,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,325.717469795691,319.100444916973,332.334494674409,190.007916753662,184.662191699038,195.353641808285,400.946076452059,393.155200646752,408.736952257365,0.1525270844746,0.150207144761929,0.154919811015159,0.052111316464028,0.051351681703878,0.052893762911139,0.099686414442259,0.0980201590552,0.101410299191683,0.630613674113318,0.619428625289528,0.641798722937108,0.780126331684413,0.758113070288104,0.802139593080721,0.574274971811653,0.561690712746809,0.586859230876497,0.804546052191684,0.784976327725817,0.824115776657552,0.909356754672321,0.890148688157828,0.928564821186814,0.993883230575134,0.981068246823078,1.00669821432719,13.5902168750763
18,32,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,310.467850219754,306.023184970629,314.912515468879,281.971780155032,276.497144032647,287.446416277417,327.064565119655,321.893536400422,332.235593838888,0.161465955603347,0.159129178578235,0.163872385581166,0.063939241897154,0.06294115253883,0.064969495708318,0.097884152044948,0.096313366798511,0.099507022979785,0.763986466201161,0.750986219306687,0.776986713095635,0.952750519684743,0.931867220872374,0.973633818497111,0.701610812933864,0.685436675923231,0.717784949944496,0.789737664766314,0.769285320488008,0.81019000904462,0.873271000103862,0.851192076013481,0.895349924194243,0.978633000082994,0.958392433364055,0.998873566801932,14.6733920574188
6,44,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,365.667717570133,360.345157476609,370.990277663657,161.485167422808,159.102304220181,163.868030625434,440.781870804645,432.235259471681,449.32848213761,0.136932475303371,0.132959132459173,0.141150611832279,0.03712101150434,0.036258348908648,0.038025723673385,0.099377093721831,0.09669084146201,0.102216869363109,0.446151027727771,0.436097856536319,0.456204198919223,0.560939887981322,0.548383138710565,0.573496637252079,0.410155012804481,0.402028560403488,0.418281465205474,0.79845940082773,0.782731506113991,0.814187295541469,0.902256052849453,0.881020081820292,0.923492023878614,0.993932573807271,0.979562258590118,1.00830288902442,14.7779111862183
12,38,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,320.041557031553,315.376359023414,324.706755039691,211.732671488128,208.788134023136,214.677208953119,380.056276822153,370.005936220986,390.10661742332,0.15622959973127,0.15400306573216,0.158521459424577,0.056508497994463,0.055740891414325,0.057297541163798,0.099651291682299,0.097289257265461,0.102130873129776,0.681759478775154,0.667872218568445,0.695646738981862,0.853071386611891,0.836347607510746,0.869795165713035,0.628093459276204,0.61780133414276,0.638385584409648,0.7985183582263,0.783417203979562,0.813619512473037,0.897900063135883,0.875941801758571,0.919858324513196,0.988940273817342,0.973500493207399,1.00438005442728,15.932137966156
4,46,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,394.396730806844,386.767759540808,402.025702072879,151.301477604105,147.247592416793,155.355362791417,458.509431522509,450.376280708909,466.642582336109,0.12691261090176,0.124859653950655,0.129034206328552,0.026791368998927,0.026378036328557,0.027217861372458,0.10040005258134,0.098511919034187,0.102361978482496,0.319761664962247,0.313251340844383,0.326271989080111,0.395790228845543,0.387122947405263,0.404457510285823,0.29027402897592,0.282912323817913,0.297635734133927,0.807900430401383,0.78587717286173,0.829923687941036,0.911913493896531,0.889612538368986,0.934214449424076,0.997089068886303,0.984601310263444,1.00957682750916,20.8206601142883
9,41,0.01,0.01,1,1,1,1,1,1,0.083333333333333,0.066666666666667,0.090909090909091,0.125,0.111111111111111,0.1,336.744518228284,331.440374445236,342.048662011332,182.397248199488,179.394735809873,185.399760589104,413.86112164065,407.111254269127,420.610989012174,0.148464338124375,0.146331570473146,0.150660195035225,0.049575462537317,0.048136178432186,0.05110346940507,0.098927627172527,0.09731510023658,0.100594494196299,0.59006180905455,0.578632639204101,0.601490978904999,0.728731751061639,0.708977298127819,0.748486203995459,0.544016910184422,0.533502816494426,0.554531003874418,0.79569950064242,0.775699571341241,0.8156994299436,0.889445156811558,0.866665778994155,0.91222453462896,0.993148212523251,0.980578446416434,1.00571797863007,15.0518889427185
