N_read,N_write,r_Z_read,r_Z_write,C_DB,r_DB_read,r_DB_write,R0,R0_low,R0_up,R0_read,R0_read_low,R0_read_up,R0_write,R0_write_low,R0_write_up,X0,X0_low,X0_up,X0_read,X0_read_low,X0_read_up,X0_write,X0_write_low,X0_write_up,U_DBread,U_DBread_low,U_DBread_up,U_DBwrite,U_DBwrite_low,U_DBwrite_up,sim_time_sec
90,10,0.1,0.002857142857142857,1,0.2,0.025,731.8699299059141,719.2402043031699,744.4996555086583,706.947129303137,689.6511269361848,724.2431316700892,1075.2196791675933,1043.2947729465848,1107.1445853886019,0.13564991198603785,0.13195348656020683,0.13955940265456004,0.12676679809865277,0.12311289524045368,0.13064422546230614,0.009279624424848802,0.009046030062436176,0.009525602724689946,0.6314583441838904,0.6218509834950108,0.6410657048727699,0.3739590364374783,0.36703633129661817,0.38088174157833843,13.262126445770264
90,10,0.1,0.004347826086956522,1,0.2,0.025,779.7521875296229,762.4642071618052,797.0401678974406,761.4075955770983,746.4524862250887,776.3627049291078,992.5029307630871,962.7965424423719,1022.2093190838023,0.12878548962504416,0.12662669099529475,0.1310191736157527,0.11854929771986669,0.11650483014034928,0.12066680102267176,0.010075579950192853,0.009792457701544856,0.0103755610441464,0.5941412130809467,0.5806086671908343,0.6076737589710591,0.4045839125601291,0.3987449734217969,0.4104228516984613,15.38276982307434
90,10,0.1,0.002631578947368421,1,0.2,0.025,738.5729244711456,717.561274270788,759.5845746715032,716.2631885351072,700.1057139990735,732.420663071141,1105.2805938199526,1073.1433640023406,1137.4178236375647,0.13526722581583153,0.1322687288412139,0.13840482649556313,0.12650588543960878,0.1239374714059779,0.12918300511520428,0.0090689280960981,0.008810040796985195,0.009343491089410308,0.6328587874231331,0.615479584926363,0.6502379899199031,0.36339731323634294,0.35594235957712217,0.3708522668955637,15.880260467529297
90,10,0.1,0.0038461538461538464,1,0.2,0.025,752.1907925469474,732.2419174835992,772.1396676102955,738.8220227992986,720.0971910743591,757.546854524238,1014.1158764702803,999.8392594226373,1028.3924935179234,0.13254851546113572,0.12927713651157624,0.1359897583984793,0.12155663857121646,0.11895920685019962,0.12427003022044605,0.009868826237770455,0.009613731839483972,0.010137827180133684,0.6082308140387862,0.5945112201486062,0.6219504079289662,0.3983795186148669,0.39224131177058597,0.4045177254591479,19.30752658843994
90,10,0.1,0.003125,1,0.2,0.025,746.4353722823646,726.068416937243,766.8023276274862,726.5715130564332,705.2056616691941,747.9373644436723,1055.0500740529624,1041.0064197643103,1069.0937283416145,0.13234426595585932,0.12979894644914608,0.1349914081225143,0.12343630080389699,0.12079879984928367,0.12619154608513264,0.009485790802587268,0.009222185418734822,0.009764909314217876,0.6125987441913415,0.595952735100402,0.629244753282281,0.380305847617394,0.37414652822567945,0.38646516700910855,20.60482120513916
90,10,0.1,0.0022727272727272726,1,0.2,0.025,714.3250414320756,695.0051947087292,733.6448881554221,690.560532381805,670.4624337795384,710.6586309840717,1140.237323114709,1108.0133541614816,1172.4612920679363,0.1393468369075276,0.13675612342124754,0.14203760295387136,0.13133185463860678,0.12810869842922049,0.13472138296385924,0.00874723109185185,0.008609729359999532,0.008889196048039541,0.6554363242881276,0.6409042276043004,0.6699684209719547,0.34654162626378443,0.3410939939968338,0.35198925853073504,21.002988815307617
90,10,0.1,0.0034482758620689655,1,0.2,0.025,759.9179649917581,743.4597081455054,776.3762218380109,735.8405064939379,715.2931847712387,756.3878282166372,1034.669994901749,1005.6009111494305,1063.7390786540675,0.13052885573193154,0.12791841885765828,0.1332480547228187,0.12078957709743399,0.11780450256744354,0.12392986351276306,0.00965653224007126,0.009539677936634284,0.009776284810262088,0.6123472538998724,0.6007956059290389,0.623898901870706,0.3900371138119792,0.37861832730339995,0.40145590032055845,23.02068281173706
90,10,0.1,0.005,1,0.2,0.025,782.4879204379032,761.7526413939765,803.2231994818299,759.2211996880568,740.0631746757999,778.3792247003137,970.5231375907535,956.9397079298388,984.1065672516683,0.1280021473387454,0.12523217896909228,0.13089742333972937,0.1195393110062112,0.1165020195953441,0.12273921046738849,0.010301696623895743,0.010008988001991266,0.010612041284037822,0.5863650088199682,0.5748676996176437,0.5978623180222927,0.4090454290124323,0.4013848837007909,0.4167059743240737,23.285969257354736
90,10,0.1,0.0024390243902439024,1,0.2,0.025,723.6283629096888,707.1074678903096,740.149257929068,697.2118032818103,684.5067304208518,709.9168761427687,1124.2014152250545,1091.1775109330104,1157.2253195170986,0.13843512711403766,0.13532625309750854,0.14169020124008083,0.1295298975422463,0.1264328897231019,0.13278243929496752,0.008917402580059108,0.008799254550987392,0.009038766548651505,0.6524026904881478,0.6331858722150596,0.671619508761236,0.35514318583073057,0.34560279050929554,0.3646835811521656,27.796563386917114
90,10,0.1,0.002127659574468085,1,0.2,0.025,715.5941606680935,696.4354285277881,734.752892808399,676.3066243194216,658.7780635697163,693.835185069127,1164.7614790904702,1149.2516653577459,1180.2712928231945,0.1399758793739672,0.1364773823313369,0.14365845799512358,0.13152089882802317,0.12793120282417866,0.1353178613791299,0.008591000312738888,0.00846445855320652,0.008721383035740143,0.654692327822364,0.6368819765286154,0.6725026791161125,0.3394474930686557,0.3296213846432981,0.34927360149401326,29.31542944908142
