N_A,N_B,r_Z_A,r_Z_B,c_T1,c_T2,c_T3,c_T4,r_A_T1,r_B_T1,r_A_T2,r_B_T2,r_A_T3,r_B_T4,R0,R0_low,R0_up,R0_A,R0_A_low,R0_A_up,R0_B,R0_B_low,R0_B_up,X0,X0_low,X0_up,X0_A,X0_A_low,X0_A_up,X0_B,X0_B_low,X0_B_up,Ut1,Ut1_low,Ut1_up,Ut2,Ut2_low,Ut2_up,Ut3_A,Ut3_A_low,Ut3_A_up,Ut3_B,Ut3_B_low,Ut3_B_up,sim_time_sec
15,35,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,516.8218457888963,507.6989686673451,525.9447229104475,665.9823448229458,653.8575130727469,678.1071765731448,470.9334323578106,461.7270556360108,480.1398090796104,0.09679800958843085,0.09517243508013379,0.09848007968548143,0.022522949545633792,0.022137998370331986,0.022921525240391438,0.07445612442382417,0.0723335039200471,0.07670708736067797,0.8603711469201332,0.8356356322970577,0.8851066615432086,1.0,0.9874855732602297,1.0125144267397703,0.24819217503192895,0.24293727422315556,0.25344707584070236,0.7327229322572909,0.714420600586069,0.7510252639285128,16.814292669296265
13,37,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,511.82990460198795,502.1291191742297,521.5306900297462,655.9958024952746,645.71754533787,666.2740596526792,467.95837733419876,459.20152531761283,476.7152293507847,0.09762267666619374,0.09598355333974518,0.09931875566620839,0.019807359019087967,0.019467366056122707,0.02015943887075487,0.07823596434943497,0.0769436905226317,0.07957238729376648,0.8823921175015715,0.8560304637245633,0.9087537712785798,0.9975682953942362,0.9843133642541331,1.0108232265343393,0.21637153011023189,0.21025185831835427,0.2224912019021095,0.7884456192639069,0.7730508397772352,0.8038403987505786,20.79963493347168
4,46,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,477.1985726518667,469.151837647252,485.2453076564814,469.6875228563646,460.0327323966115,479.34231331611767,478.862347459568,471.0616941843664,486.66300073476964,0.10478574951143296,0.10198602416564852,0.10774353019560771,0.008415744497076414,0.00824065483104701,0.00859843595926593,0.09621149384001133,0.09466396516224843,0.09781046016077075,0.8718698676578068,0.8512918277103578,0.8924479076052558,0.9948041366130618,0.9817282267448618,1.0078800464812616,0.09223719964797554,0.08990849189608617,0.09456590739986491,0.9664048649167293,0.9404936113294887,0.9923161185039698,29.46021819114685
20,30,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,546.8865749877339,531.8832853518251,561.8898646236427,698.146447729501,683.6931068624364,712.5997885965656,478.13419606057266,471.1217899455827,485.14660217556263,0.09127477565603817,0.0895176419369919,0.09310227175035561,0.02880593368580985,0.02829618185383631,0.029334388671084902,0.06284210384728232,0.061737612175799636,0.06398683431374136,0.8573912212412231,0.8341339366829272,0.880648505799519,1.0,0.9874855732602297,1.0125144267397703,0.3123862363600184,0.3048660383404804,0.31990643437955635,0.6294215909980543,0.6144029879722361,0.6444401940238724,16.633368730545044
11,39,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,503.2163558171614,494.4738189891747,511.9588926451481,639.6204385797661,629.4373480642979,649.8035290952342,474.2262943153162,466.3176041190298,482.13498451160257,0.09935564191128633,0.09822792588007377,0.10050955239561146,0.01716993804504039,0.01688061498964411,0.017469351674542125,0.08224067323116334,0.08009102740121452,0.0845088947676511,0.8589594352553916,0.8428201678390728,0.8750987026717105,0.998728505193005,0.986123551590079,1.011333458795931,0.18922080711131012,0.18399118745703574,0.1944504267655845,0.8299122413799844,0.8089330959498364,0.8508913868101324,24.135387897491455
22,28,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,553.6577549592324,543.5182626651572,563.7972472533077,695.1625847104966,681.6554706757763,708.6696987452169,479.5691374421304,470.9506083975894,488.1876664866714,0.08981427004744398,0.08723548069490795,0.09255016817471014,0.03158337892933774,0.031031950991109454,0.03215475880674576,0.05855502927815349,0.057651796032448285,0.05948701498052312,0.8370754915887494,0.8122581380225268,0.861892845154972,1.0,0.9874855732602297,1.0125144267397703,0.34851094305701824,0.3388143339703514,0.3582075521436851,0.5832950521675214,0.5666493365652933,0.5999407677697496,14.093503952026367
24,26,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,569.7128552085802,553.8291872540307,585.5965231631297,700.5673760265436,689.6897819259985,711.4449701270886,476.6602160125833,465.085818755321,488.2346132698456,0.08860843488073729,0.08720389421812162,0.09005896037636606,0.03425586409012369,0.03372322160085943,0.034805602275152454,0.0541515294296455,0.05258978816059321,0.05580886658919483,0.840608628609261,0.8158478864980667,0.8653693707204553,1.0,0.9874855732602297,1.0125144267397703,0.3738267087785704,0.3645323423556322,0.38312107520150857,0.548512713752899,0.5344597786036669,0.5625656489021311,11.868385791778564
9,41,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,493.7867208604702,486.2478219421698,501.3256197787706,610.7466366336914,597.5350082832321,623.9582649841508,470.9103641150372,463.9907233251937,477.83000490488075,0.10135325490693546,0.09976537496713841,0.10299249820047274,0.01471770843048042,0.014449712829070056,0.014995832797148521,0.08704599685023182,0.085679664733032,0.08845661291153803,0.8654236770068735,0.8470258562478702,0.8838214977658768,0.9996653332828591,0.9871712649212977,1.0121594016444206,0.15989720355852152,0.15514249651642256,0.16465191060062048,0.8828585764911946,0.8608708101389112,0.904846342843478,25.38629412651062
26,24,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,578.7615303633786,568.977496622352,588.5455641044052,707.5650506215436,693.988507308435,721.1415939346522,481.4443646195445,472.78254577668395,490.10618346240506,0.08635597399453394,0.08457349541916985,0.0882152055798925,0.03674089499252298,0.036138135226838265,0.037364103076561635,0.04996309248929915,0.049081596795131986,0.05087683021786404,0.8274471758305711,0.8037216483231591,0.8511727033379832,1.0,0.9874855732602297,1.0125144267397703,0.3989077734833629,0.3884138554246968,0.40940169154202904,0.4972230653139427,0.4864804154915129,0.5079657151363726,9.882158279418945
7,43,0.01,0.01,1,1,1,1,0.08333333333333333,0.125,0.06666666666666667,0.1111111111111111,0.09090909090909091,0.1,486.21657704762384,478.20261539831347,494.2305386969342,574.3634350803329,566.3562893624056,582.3705807982602,474.69506763587844,466.43457349935386,482.95556177240303,0.10280609715872814,0.10122064519408018,0.10444200635341165,0.012247494680155025,0.011907722586688955,0.012607226242770962,0.09040754885958287,0.08891059330669332,0.09195577503762678,0.8743623735197116,0.8523376820595076,0.8963870649799156,0.9971942092160158,0.9843404462282734,1.010047972203758,0.134631679915262,0.13184157161430876,0.13742178821621526,0.9147934498911894,0.8930837415744362,0.9365031582079426,26.756646156311035
