N_read,N_write,r_Z_read,r_Z_write,C_DB_read,r_DB_read,C_DB_write,r_DB_write,R0,R0_low,R0_up,R0_read,R0_read_low,R0_read_up,R0_write,R0_write_low,R0_write_up,X0,X0_low,X0_up,X0_read,X0_read_low,X0_read_up,X0_write,X0_write_low,X0_write_up,U_DBread,U_DBread_low,U_DBread_up,U_DBwrite,U_DBwrite_low,U_DBwrite_up,sim_time_sec
90,10,0.1,0.0022727272727272726,1,0.2,1,0.025,539.0329140159838,528.489987918765,549.5758401132026,592.9835134505531,575.6413717826198,610.3256551184865,537.9330459749208,522.1999888788815,553.66610307096,0.19012014895776994,0.18633737072728462,0.1940596957575399,0.15344642113311152,0.14995991792920285,0.15709890264255316,0.018629043923538084,0.018144631720864002,0.019140030561695016,0.7765140940563341,0.7550273185895526,0.7980008695231156,0.7409377717632575,0.7202048854193858,0.7616706581071292,48.31906986236572
90,10,0.1,0.002127659574468085,1,0.2,1,0.025,517.355827090896,502.9676459981437,531.7440081836484,561.5073163950589,545.6220779113398,577.3925548787779,563.314806018888,547.495295557568,579.134316480208,0.19851940631860748,0.19364138476730025,0.20364954346956937,0.16149449775922592,0.15782250374423143,0.1653414317088316,0.017699695548755914,0.01718484735991737,0.01824634561770615,0.8165831242064638,0.7979533486697704,0.8352128997431573,0.7075978020481523,0.694948155054802,0.7202474490415025,49.05577802658081
90,10,0.1,0.0024390243902439024,1,0.2,1,0.025,573.2378196169282,558.8088541213241,587.6667851125322,628.4998458428122,611.2011119028481,645.7985797827763,511.42744178041227,496.36554501285093,526.4893385479736,0.17948247283597163,0.17499747259985132,0.18420341155611192,0.14080671007963905,0.13647925479575945,0.14541757988081086,0.019532751670563498,0.018975229942599283,0.020124026835549286,0.7103551682294377,0.6947536384035284,0.7259566980553469,0.7783340562543918,0.7633851748490655,0.793282937659718,74.88169836997986
90,10,0.1,0.002631578947368421,1,0.2,1,0.025,602.1621729470204,586.6174920149919,617.7068538790489,721.0577580336376,696.5066561274284,745.6088599398468,497.8047313723777,490.1075845273854,505.50187821737,0.17317882983996208,0.168301696041276,0.1783470635047133,0.12456599121207668,0.12078064932823264,0.12859627989747335,0.020089761501898538,0.01978196967008109,0.02040728271099911,0.6575279973030916,0.6386070032208654,0.6764489913853179,0.8102039410918666,0.7974097940091283,0.8229980881746048,78.21589016914368
90,10,0.1,0.002857142857142857,1,0.2,1,0.025,686.3540604566093,663.5196341796317,709.188486733587,816.3833268758864,785.577289190479,847.1893645612938,474.32448770778683,465.69449833820374,482.9544770773699,0.15121775863005635,0.14595603828044787,0.15687303717653664,0.11006705448972696,0.10603282713879006,0.11442040367866747,0.021005265459785292,0.02063996705303713,0.021383727378924293,0.5527210536022896,0.5355922845384574,0.5698498226661218,0.846346219681162,0.8310490171489948,0.8616434222133291,81.24858546257019
90,10,0.1,0.003125,1,0.2,1,0.025,781.5713815443162,739.1281165407494,824.014646547883,972.1544537838876,926.6332871312271,1017.675620436548,457.52762938188914,449.48961735364776,465.5656414101305,0.1359187146315236,0.12922617704485187,0.14334231773697156,0.0911094719705787,0.08585783828983776,0.09704541169079742,0.02184989913293997,0.02147170082499517,0.02224165933844225,0.4535006927302457,0.433556632834599,0.47344475262589236,0.8854842030800354,0.8627559035900126,0.9082125025700581,88.81424570083618
90,10,0.1,0.0034482758620689655,1,0.2,1,0.025,907.5584357854026,858.8705902645692,956.246281306236,1243.6802208486797,1163.8147203836345,1323.545721313725,439.13334953616805,431.42560718120694,446.84109189112917,0.11892839177715503,0.11357670709406312,0.12480935385486795,0.07236201011924777,0.0681428330086052,0.07713814709837423,0.022768701766838133,0.02237330581867581,0.023178324541549864,0.35991519832630564,0.3405355562107581,0.3792948404418532,0.9115893678556055,0.8870822735617092,0.9360964621495018,95.28724932670593
90,10,0.1,0.0022222222222222222,1,0.2,1,0.025,522.8439061854037,511.9290034819239,533.7588088888836,569.6021146613093,556.8105958153727,582.3936335072459,547.217629786425,538.0098067462035,556.4254528266466,0.19388513910044625,0.18908211563302277,0.19893853317863755,0.15820167985876724,0.15515562422156656,0.1613697324884158,0.018237064942182017,0.017911002225630433,0.018575219471170044,0.7847071212594071,0.766365993283357,0.8030482492354573,0.7307687076591458,0.7187907696486608,0.7427466456696308,54.49164271354675
90,10,0.1,0.0020833333333333333,1,0.2,1,0.025,511.194265887947,499.1002325308606,523.2882992450334,545.9930377782553,535.0525550225609,556.9335205339496,572.7760176825947,561.8650600167712,583.6869753484182,0.19948465760271739,0.1942120017154035,0.2050515973511739,0.1647088722285598,0.1602615749170652,0.1694100416970963,0.017457519845195897,0.017150624537848304,0.017775598510858397,0.8296960845617316,0.8070369703879269,0.8523551987355363,0.7007964241507313,0.6870352099418637,0.7145576383595988,56.16928172111511
90,10,0.1,0.0038461538461538464,1,0.2,1,0.025,1216.0050175819335,1116.6804812440946,1315.3295539197725,1885.3950952999776,1702.6561109851227,2068.1340796148324,425.68981009213553,419.36152640760804,432.018093776663,0.09329775862403616,0.08749296269580355,0.09992753709507209,0.04860282371528771,0.045149701029505,0.052627890515274334,0.023511101950271056,0.023174257584412022,0.023857883004293944,0.24137396328532684,0.22005051199444972,0.262697414576204,0.9399395482168365,0.9139486324631098,0.9659304639705631,106.14759469032288
